시군구,번지,단지명,전용면적,거래금액
서울특별시 구로구 가리봉동,139,효성,84.87,"56,500"
서울특별시 구로구 가리봉동,139,효성,59.94,"42,000"
서울특별시 구로구 개봉동,491,LIP e-푸른아파트,83.02,"46,000"
서울특별시 구로구 개봉동,491,LIP e-푸른아파트,83.02,"49,000"
서울특별시 구로구 개봉동,489,개봉동현대아이파크,59.99,"79,500"
서울특별시 구로구 개봉동,489,개봉동현대아이파크,117.74,"103,250"
서울특별시 구로구 개봉동,489,개봉동현대아이파크,84.98,"93,000"
서울특별시 구로구 개봉동,489,개봉동현대아이파크,59.99,"78,900"
서울특별시 구로구 개봉동,489,개봉동현대아이파크,84.98,"93,000"
서울특별시 구로구 개봉동,489,개봉동현대아이파크,59.99,"77,000"
서울특별시 구로구 개봉동,489,개봉동현대아이파크,84.98,"92,000"
서울특별시 구로구 개봉동,489,개봉동현대아이파크,84.98,"89,000"
서울특별시 구로구 개봉동,489,개봉동현대아이파크,59.99,"81,200"
서울특별시 구로구 개봉동,489,개봉동현대아이파크,59.99,"81,000"
서울특별시 구로구 개봉동,489,개봉동현대아이파크,117.74,"103,300"
서울특별시 구로구 개봉동,492,개봉푸르지오,71.49,"84,000"
서울특별시 구로구 개봉동,492,개봉푸르지오,71.86,"81,000"
서울특별시 구로구 개봉동,492,개봉푸르지오,84.88,"87,000"
서울특별시 구로구 개봉동,492,개봉푸르지오,84.94,"90,000"
서울특별시 구로구 개봉동,492,개봉푸르지오,84.94,"93,000"
서울특별시 구로구 개봉동,492,개봉푸르지오,71.86,"87,000"
서울특별시 구로구 개봉동,270-80,거성,58.23,"22,000"
서울특별시 구로구 개봉동,270-80,거성,58.23,"28,000"
서울특별시 구로구 개봉동,270-80,거성,47.52,"22,000"
서울특별시 구로구 개봉동,60-101,거성푸르뫼,132.68,"59,000"
서울특별시 구로구 개봉동,60-101,거성푸르뫼,59.89,"38,500"
서울특별시 구로구 개봉동,60-82,거성푸르뫼2,59.9,"39,000"
서울특별시 구로구 개봉동,304-16,건양,74.96,"25,500"
서울특별시 구로구 개봉동,484,고운아파트,84.91,"47,000"
서울특별시 구로구 개봉동,484,고운아파트,84.91,"47,000"
서울특별시 구로구 개봉동,484,고운아파트,59.94,"44,500"
서울특별시 구로구 개봉동,312-38,길훈,59.57,"21,700"
서울특별시 구로구 개봉동,477,대상,74.56,"50,000"
서울특별시 구로구 개봉동,477,대상,84.94,"54,000"
서울특별시 구로구 개봉동,477,대상,84.98,"50,400"
서울특별시 구로구 개봉동,477,대상,84.98,"56,000"
서울특별시 구로구 개봉동,477,대상,84.98,"59,900"
서울특별시 구로구 개봉동,335-1,동인,78.64,"42,500"
서울특별시 구로구 개봉동,335-1,동인,67.36,"42,000"
서울특별시 구로구 개봉동,472,두산,59.69,"56,000"
서울특별시 구로구 개봉동,472,두산,111.69,"74,500"
서울특별시 구로구 개봉동,472,두산,59.69,"55,200"
서울특별시 구로구 개봉동,472,두산,59.69,"57,700"
서울특별시 구로구 개봉동,472,두산,59.69,"59,000"
서울특별시 구로구 개봉동,472,두산,59.69,"60,000"
서울특별시 구로구 개봉동,472,두산,111.69,"72,000"
서울특별시 구로구 개봉동,471,삼호,84.88,"70,500"
서울특별시 구로구 개봉동,471,삼호,84.88,"71,500"
서울특별시 구로구 개봉동,471,삼호,84.88,"66,650"
서울특별시 구로구 개봉동,470,삼환,59.4,"56,000"
서울특별시 구로구 개봉동,470,삼환,59.4,"58,500"
서울특별시 구로구 개봉동,470,삼환,59.4,"59,000"
서울특별시 구로구 개봉동,470,삼환,84.945,"67,000"
서울특별시 구로구 개봉동,470,삼환,59.4,"60,000"
서울특별시 구로구 개봉동,470,삼환,114.48,"79,500"
서울특별시 구로구 개봉동,470,삼환,114.48,"76,000"
서울특별시 구로구 개봉동,473,상우,96.3,"63,800"
서울특별시 구로구 개봉동,473,상우,96.3,"67,000"
서울특별시 구로구 개봉동,63-15,수영힐(나동),76.58,"35,000"
서울특별시 구로구 개봉동,170-30,신개봉삼환,59.81,"50,700"
서울특별시 구로구 개봉동,170-30,신개봉삼환,59.81,"51,000"
서울특별시 구로구 개봉동,170-30,신개봉삼환,84.99,"70,000"
서울특별시 구로구 개봉동,488,영화아이닉스,84.98,"67,000"
서울특별시 구로구 개봉동,488,영화아이닉스,84.98,"62,000"
서울특별시 구로구 개봉동,488,영화아이닉스,65.71,"57,800"
서울특별시 구로구 개봉동,483,율포그레이스빌,70.31,"44,500"
서울특별시 구로구 개봉동,01월 20일,창동,46.08,"26,000"
서울특별시 구로구 개봉동,175-8,청실,64.56,"52,900"
서울특별시 구로구 개봉동,367-2,태경하이빌,82.31,"40,300"
서울특별시 구로구 개봉동,367-2,태경하이빌,82.31,"40,450"
서울특별시 구로구 개봉동,476,한마을,149.97,"104,500"
서울특별시 구로구 개봉동,476,한마을,123.46,"99,000"
서울특별시 구로구 개봉동,476,한마을,84.57,"90,500"
서울특별시 구로구 개봉동,476,한마을,59.57,"70,000"
서울특별시 구로구 개봉동,476,한마을,84.57,"87,000"
서울특별시 구로구 개봉동,476,한마을,149.97,"100,000"
서울특별시 구로구 개봉동,476,한마을,84.57,"89,000"
서울특별시 구로구 개봉동,476,한마을,59.57,"66,000"
서울특별시 구로구 개봉동,476,한마을,59.57,"73,000"
서울특별시 구로구 개봉동,476,한마을,84.57,"91,000"
서울특별시 구로구 개봉동,476,한마을,59.57,"76,500"
서울특별시 구로구 개봉동,476,한마을,84.57,"88,000"
서울특별시 구로구 개봉동,476,한마을,84.57,"88,000"
서울특별시 구로구 개봉동,476,한마을,59.57,"73,000"
서울특별시 구로구 개봉동,476,한마을,59.57,"74,000"
서울특별시 구로구 개봉동,476,한마을,84.57,"83,000"
